,Inbred,PHK76_DEH1.2020,PHK76_DEH1.2021,PHK76_IAH1.2021,PHK76_IAH2.2021,PHK76_IAH3.2021,PHK76_IAH4.2021,PHK76_ILH1.2021,PHK76_INH1.2020,PHK76_NCH1.2021,PHK76_WIH2.2020,PHK76_WIH2.2021,PHK76.Yield,PHP02_DEH1.2020,PHP02_DEH1.2021,PHP02_IAH2.2021,PHP02_IAH3.2021,PHP02_IAH4.2021,PHP02_MIH1.2021,PHP02_MNH1.2020,PHP02_MNH1.2021,PHP02_OHH1.2020,PHP02_WIH1.2020,PHP02_WIH1.2021,PHP02_WIH2.2020,PHP02_WIH2.2021,PHP02_WIH3.2021,PHP02.Yield,PHZ51_DEH1.2020,PHZ51_DEH1.2021,PHZ51_GAH1.2020,PHZ51_GAH1.2021,PHZ51_IAH1.2021,PHZ51_IAH2.2021,PHZ51_IAH3.2021,PHZ51_IAH4.2021,PHZ51_NCH1.2021,PHZ51_NEH1.2020,PHZ51_NEH1.2021,PHZ51_NEH2.2020,PHZ51_NEH3.2020,PHZ51_SCH1.2021,PHZ51_TXH1.2020,PHZ51_TXH2.2020,PHZ51_TXH2.2021,PHZ51_TXH3.2021,PHZ51_WIH2.2020,PHZ51_WIH2.2021,PHZ51.Yield
1,W10004_0007,10.39558863,12.45752187,10.80471874,12.04878811,12.16712465,11.76774643,11.71729364,13.59964483,9.518107799,13.29654998,13.86006318,11.9666498,9.797783822,12.84556073,11.73626792,11.84393327,11.59662747,14.42489626,12.55172501,11.600798,14.4586292,12.8250902,14.20227922,13.88811358,13.63578965,11.55702135,12.64032255,9.288808825,11.21442794,8.949725769,10.30512066,8.101252574,11.8264216,12.2108593,10.16369962,8.574228959,9.314702321,11.19224329,10.65260849,10.5953405,7.200780675,9.207716914,9.392140914,8.875833539,4.20226977,9.474541882,11.80518538,9.627395446
2,W10004_0011,8.371657133,10.97445117,8.240243158,9.997792661,10.48142063,9.924127161,10.61335497,10.88173085,7.976562443,11.06302328,11.46753733,9.999263709,9.815955767,11.56269776,11.23013151,11.29749985,10.37556523,12.09314335,10.5326492,10.96894516,13.58185619,11.6902585,13.30711433,9.696008043,11.87124229,10.40240803,11.31610537,7.091099383,10.25494121,6.591158689,8.899245183,7.812003431,10.34803234,8.924207145,9.195677053,7.183648489,7.953071275,7.573288579,7.175841872,10.14519669,5.76102041,7.924482478,5.921946836,8.953526627,3.31113204,9.301431803,10.97424558,8.064759856
3,W10004_0014,11.05030436,13.72945094,11.43928601,12.9354305,12.93734738,11.87756868,13.491068,14.53512127,9.853177148,13.68190677,14.23613999,12.70607282,11.12900785,14.00360255,14.94554158,14.60350299,13.52293414,15.54845489,14.19112888,13.62534473,16.49220522,14.85790354,15.97099495,12.64533559,14.88873,14.25144886,14.3340097,9.398302318,11.84814772,8.225487058,9.566576679,10.35894983,12.02653685,11.0699265,11.25922352,8.550118771,9.632437456,11.33539871,10.29372786,11.48032596,8.362531206,10.57727229,7.474526047,8.762975252,4.377813016,12.31134957,13.74142562,10.03265261
4,W10004_0018,9.368247828,11.35891924,8.895514615,11.46406299,10.03757907,10.07082064,11.45665691,12.30026075,8.74744409,11.78284159,13.41294776,10.80866323,8.519590529,10.47894021,10.12652719,9.690290488,10.06990768,9.963118099,8.576656122,10.02432365,12.6403771,10.5546784,12.36730341,10.3814133,11.57274643,8.697984617,10.26170409,6.668895694,10.32379564,6.935568525,8.801409917,8.906621159,10.8014626,10.62931324,9.64044902,7.597315307,7.205514839,6.610916973,9.824010217,10.13808052,6.656010324,8.097061307,5.973941153,7.387707052,3.415137139,11.22426791,11.00776334,8.392262094
5,W10004_0026,10.43700676,11.65224207,10.36990736,12.52077905,12.03546615,11.37799206,11.76203958,13.05634595,8.533543605,11.88568986,13.58864966,11.56542383,10.93306316,12.81369598,13.40866713,12.05807361,12.39002542,13.85137377,12.15274487,12.09155337,15.08670823,13.62239694,13.84791814,13.67413218,13.7749913,12.40893486,13.00816278,7.800188474,11.08126224,8.321219037,10.03288277,8.950647928,10.78444742,9.093106627,9.524570798,8.611603523,7.208438444,9.14202113,12.67647114,10.18095902,7.049903725,9.664071641,7.461711629,10.11642844,3.720358203,10.65314722,11.03370861,9.155357401
6,W10004_0032,9.778865126,12.52421681,10.11202467,11.5125411,12.11604158,11.21810865,12.55139784,12.57618817,8.497599865,11.26484197,13.68789934,11.43997501,9.693560441,12.1058436,12.20171964,12.38975554,11.26936494,13.46692649,11.65444472,11.44471147,14.18116362,11.78960463,12.78802742,10.76130414,11.82206416,10.77493635,11.88167337,7.589681427,11.23889649,7.073529093,9.34264106,9.313277545,11.4424319,10.76443818,10.13457747,8.669843605,8.60237599,10.71154814,10.68000757,10.26012955,7.836163592,10.14030043,8.03657732,9.775696983,3.715318996,12.20434313,11.63934428,9.458556137
7,W10004_0034,9.528971113,11.76214477,10.44650411,11.91974586,12.00546852,11.69473445,11.98463768,12.07191853,9.018696758,12.54846538,13.07177539,11.45936932,9.785267694,12.92871878,12.90541992,10.56471729,12.17135129,13.07291149,12.13793183,11.66581367,14.72558491,12.10938135,15.06338116,13.01645289,13.63391523,11.12397717,12.49320176,8.359538231,10.74279504,8.43798485,9.982703623,9.436511948,11.8608284,10.23207908,10.21882978,7.231785529,9.62498119,11.36763388,9.203055918,11.33606793,5.568907765,9.073154315,7.035746972,8.341586821,3.499521627,13.06638145,12.11529065,9.33676925
8,W10004_0037,7.47975423,10.89001426,8.052314943,9.502413847,10.38718002,10.77633203,9.780831086,10.46865649,6.68375784,11.1219883,12.74982721,9.808460932,9.368224437,12.23601827,12.2642924,12.44333929,11.24716556,12.26909366,10.70085286,10.65177169,13.60074953,11.3105354,13.36865896,12.26528241,13.33664142,10.6484633,11.83650637,6.924231774,9.420761247,6.918969899,8.600837172,7.586666731,9.376204989,9.635882281,8.50541209,7.120087704,7.452426934,8.105882088,9.531929231,10.21616134,5.903890193,8.448908816,6.683905356,7.890404447,3.185092387,9.780636606,11.77905349,8.153367239
9,W10004_0038,9.12949302,11.34574094,9.795311987,11.395163,10.89794989,10.63704976,11.57793336,12.08897221,8.294887548,11.62749807,12.65142101,10.85831098,9.745127247,12.51131862,11.6509182,12.25814775,11.44812082,13.10650612,11.83796984,11.86255841,14.18513672,13.68344996,14.28314998,11.28799426,13.15980871,11.68665393,12.33620433,8.768064731,11.27975087,7.94239047,9.62956441,8.614888102,10.8045937,10.6659543,9.745630741,8.114994933,8.489969762,10.55760574,7.733844908,9.710166839,6.713383992,9.446068276,6.481225091,7.959458528,3.680216148,10.46508091,11.90935838,8.935610542
10,W10004_0041,8.036465837,12.10741982,10.01111778,10.65823864,11.85671165,9.595815919,10.66867025,11.40361323,8.091786671,11.51706462,11.70079119,10.51342687,10.15861195,12.6569892,12.74980895,12.43102582,12.04448112,13.10256004,12.06135443,12.12310379,13.97917778,13.24770061,13.96478928,13.08780443,13.59795279,11.93293623,12.65273546,8.714810618,12.22478524,8.322373817,9.863399676,9.181354949,12.0772532,11.14812241,10.55725604,8.450222092,8.378303037,10.04156142,10.34833127,11.40198875,5.981861506,10.03469584,6.960311087,9.646456704,4.719055265,11.53772976,12.05331053,9.582159161
