"","Inbred","PHK76_DEH1.2020","PHK76_DEH1.2021","PHK76_IAH1.2021","PHK76_IAH2.2021","PHK76_IAH3.2021","PHK76_IAH4.2021","PHK76_ILH1.2021","PHK76_INH1.2020","PHK76_NCH1.2021","PHK76_WIH2.2020","PHK76_WIH2.2021","PHP02_DEH1.2020","PHP02_DEH1.2021","PHP02_IAH2.2021","PHP02_IAH3.2021","PHP02_IAH4.2021","PHP02_MIH1.2021","PHP02_MNH1.2020","PHP02_MNH1.2021","PHP02_OHH1.2020","PHP02_WIH1.2020","PHP02_WIH1.2021","PHP02_WIH2.2020","PHP02_WIH2.2021","PHP02_WIH3.2021","PHZ51_DEH1.2020","PHZ51_DEH1.2021","PHZ51_GAH1.2020","PHZ51_GAH1.2021","PHZ51_IAH1.2021","PHZ51_IAH2.2021","PHZ51_IAH3.2021","PHZ51_IAH4.2021","PHZ51_NCH1.2021","PHZ51_NEH1.2020","PHZ51_NEH1.2021","PHZ51_NEH2.2020","PHZ51_NEH3.2020","PHZ51_SCH1.2021","PHZ51_TXH1.2020","PHZ51_TXH2.2020","PHZ51_TXH2.2021","PHZ51_TXH3.2021","PHZ51_WIH2.2020","PHZ51_WIH2.2021"
"1","W10004_0007",10.3955938579136,12.4575715667135,10.8047296053112,12.0488372717474,12.1671686236756,11.7677826554642,11.7173527243111,13.5997238013806,9.51811145523757,13.296616938307,13.8601397818189,9.79778649574298,12.8456112028541,11.7363017570835,11.8439647841474,11.5966538913931,14.4249817166541,12.5517832919515,11.6008505756584,14.4587315587202,12.8251621737202,14.2023641155163,13.8881744389174,13.6358599337737,11.5570674314137,9.28883118333008,11.2144932672419,8.949733499518,10.3051633881082,8.10127499902404,11.8264875265364,12.2109232767517,10.163746853296,8.5742467803405,9.31471335513062,11.1922814294723,10.6526568237868,10.5954027641492,7.20076421518704,9.20773514570205,9.39213547022445,8.87586321541202,4.20207449173839,9.47460876219359,11.8052711054055
"2","W10004_0011",8.37166418242038,10.9745033874513,8.24025304643407,9.99783829288648,10.4814673241845,9.92416362295534,10.6134222762294,10.8818083331365,7.97656694952479,11.0630894506999,11.4676119585593,9.81596666382635,11.5627515308332,11.2301719684372,11.297544431578,10.3755957679472,12.0932233449447,10.5327061909962,10.969001138816,13.5819650759954,11.6903175118092,13.3072031232878,9.69605848938523,11.8713110541783,10.4024532959458,7.09111566700899,10.2550081396169,6.59116336188231,8.89928870509341,7.81202750027146,10.3481005824419,8.92426205943427,9.19572707814485,7.18366434744252,7.95308232282002,7.57331837643059,7.17588127439905,10.145260873281,5.76100437687707,7.92449773099532,5.92193725200903,8.95355959184663,3.31093795267044,9.30150438185423,10.9743324920222
"3","W10004_0014",11.0503194083961,13.7295032701134,11.4392998838791,12.9354781088751,12.9373953163676,11.8776029802564,13.4911350884969,14.5352030662695,9.85317769920513,13.6819723877492,14.236215493883,11.1290013736499,14.0036478143757,14.9455823764289,14.603535407087,13.5229618913546,15.548536593636,14.1911853809138,13.6253951273147,16.4923086364846,14.8579631892582,15.9710818781472,12.6453853378007,14.8887970799012,14.2514957749352,9.39832426171126,11.8482121807755,8.22548717377711,9.56661435423892,10.3589759170739,12.0266031665811,11.0699829653958,11.2592708121149,8.55013192972937,9.63244848503679,11.3354351335043,10.293771051152,11.4803885611466,8.36251761197416,10.5772917943437,7.47451374571515,8.76300189022878,4.37761437647094,12.3114233336058,13.7415171493699
"4","W10004_0018",9.36825915528,11.3589764588224,8.89552720333357,11.4641183512395,10.0376241800022,10.0708567921581,11.4567247954829,12.3003431492397,8.74744846039524,11.7829081976615,13.4130315109006,8.51959139846958,10.478990312682,10.1265697477947,9.6903223392659,10.0699376325746,9.96319717626206,8.57670747695165,10.0243806069477,12.6404852132349,10.5547478583632,12.367389463891,10.3814694863909,11.5728196464113,8.69802679963456,6.66891414953804,10.3238627509533,6.93557156630045,8.80145273237855,8.90665031071098,10.801528272016,10.6293777019363,9.64049951190117,7.59732854434505,7.20552319769904,6.61094068001581,9.82406073268541,10.1381437452527,6.6559944630122,8.09708355475987,5.97393046323156,7.38773611235405,3.41494115309428,11.22434639811,11.0078493676141
"5","W10004_0026",10.4370169245548,11.6522986121053,10.369923438031,12.5208348663344,12.0355115814584,11.3780285787306,11.7621025418075,13.0564238089941,8.53354597015228,11.8857527299599,13.5887300877459,10.9330645039623,12.8137450291296,13.408707166364,12.0581138678784,12.3900488883602,13.851456816861,12.1528015202396,12.0916071692456,15.0868185502707,13.6224564838255,13.848005661054,13.6741898163426,13.7750613053903,12.4089804024101,7.80020618223147,11.0813326109771,8.32122536005815,10.0329270106749,8.95067444724319,10.784514243542,9.09316016102036,9.52461825579572,8.61161717280534,7.20844568859346,9.14205323515753,12.6765286083953,10.1810215996231,7.04988871451086,9.66409766304874,7.46170266900628,10.1164629455914,3.72016273200224,10.6532232260016,11.0337937441649
"6","W10004_0032",9.77887154793996,12.524272340143,10.1120374147524,11.5125920384456,12.1160868903792,11.2181450528694,12.551466639956,12.5762657169513,8.49760026390591,11.2649028820806,13.6879788717205,9.69356227349167,12.1058955394508,12.2017638553142,12.3897962321455,11.2693961163285,13.4670111210272,11.6545030595835,11.4447666171128,14.1812700675912,11.7896671411643,12.7881091007692,10.7613557385651,11.8221303368168,10.7749812023456,7.58969932055672,11.2389629409876,7.07352887264823,9.34268092229661,9.31330258981092,11.4424972041447,10.7644991014572,10.1346234425441,8.6698570972991,8.60238542066807,10.7115839243485,10.6800567597227,10.260189375503,7.83614887396457,10.1403237938041,8.03656887843447,9.77572925504038,3.71511960046266,12.2044204770026,11.6394289498181
"9","W10004_0038",9.12950113696796,11.3457930834987,9.79532466338113,11.3952154341163,10.8979932400619,10.6370866163522,11.577998409626,12.0890511433629,8.29488852212518,11.6275616184602,12.6514994935415,9.74512881633995,12.5113715358885,11.6509565012348,12.258181151281,11.4481464431465,13.1065893895575,11.8380268241542,11.8626130549964,14.1852382484874,13.6835255109159,14.2832369795498,11.2880459624632,13.1598770756451,11.6867006405384,8.76808724793266,11.2798219468449,7.94239450496764,9.62960665036537,8.61491293220769,10.8046577676477,10.6660131881436,9.74567989915942,8.11501257469073,8.48997893454559,10.5576408942019,7.73388663545902,9.71022709579707,6.71336818233879,9.44608758523704,6.48121309327216,7.95948565831595,3.68001712671578,10.4651547026599,11.9094469160272
"10","W10004_0041",8.03646914797339,12.1074747027875,10.0111353715015,10.6582872806001,11.8567590567972,9.59585151715362,10.6687340222299,11.4036903830385,8.09178726367148,11.517129965782,11.7008648381125,10.1586173388199,12.6570408090536,12.7498580266828,12.4310611204178,12.0445063534675,13.1026415613586,12.0614106049206,12.12315903341,13.9792814474082,13.2477644571371,13.9648778799444,13.0878622672721,13.598023161026,11.9329839807914,8.71482794167032,12.2248546773646,8.32237886092312,9.86343834814242,9.18137842289408,12.0773205673634,11.1481827369028,10.5573030493005,8.45023506485589,8.37831119945508,10.0415922980843,10.3483775813958,11.402051853582,5.98183919698924,10.0347123434356,6.96029901715761,9.64648793038353,4.71886030906349,11.5378038469789,12.0533961409399
"11","W10004_0045",10.7783046574203,12.6322532326288,10.5619380236872,11.8610751999439,12.6066230523215,12.0401498117831,12.5584273095879,13.7844447033762,9.05517536695035,10.2891153382169,12.7653666671993,9.89564911447533,13.2896976963637,14.100245528587,13.2681861331339,12.2077546374409,15.1367791421441,13.3363555261506,12.9751873805626,15.1657549692853,13.491765469898,15.2579373431079,13.7799515700978,13.8794485865842,12.3992505918543,9.27861807050028,10.5488967161557,7.57099383311923,10.1804220656768,8.50099308038145,11.2495736259576,11.4816332542418,9.75781968191562,7.88220230804187,6.30795508702988,6.39884581476334,10.0268261902658,10.6466802455946,5.98670363211597,8.66102106668117,6.3892532252573,8.57476494659172,3.01565481039932,11.5157681607171,12.2945326392422
"12","W10004_0046",8.65480943214486,10.0200889127444,8.90907523373243,11.1465821337326,9.89727866819235,9.82573647496423,10.7828854545974,11.4780710100157,8.25968561553432,10.3980161227005,11.5479841791635,9.8896211768221,12.9815509688719,12.4975267583822,12.3131328496557,11.0055315711653,12.8072438472138,12.8567982102046,12.0262506830099,13.8011058955895,12.9214060491112,13.3536884804012,13.2601144328001,13.7183642111065,11.0419153736947,8.89915766295057,10.4600179170757,7.36064617277647,9.48264666068639,9.55768107679648,12.0536828777634,9.93475705438857,9.00288586500196,8.64154323255736,9.30592664412744,11.2052556112106,9.70891972662755,10.7895088130359,7.27247863805348,9.71565936098141,7.41448620290433,8.82938714202584,4.48444914902681,14.0951874450006,12.7966138007468
