"","X.1","X","env","ALT","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M","T2M_MAX","T2M_MIN","PRECTOT","WS2M","RH2M","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","daysFromStart","n","N","RTA","VPD","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE","PTR","PTT"
"1",1,1,"DEH1.2020",14,-75.4661,38.63014,2020,5,14,135,"2020-05-14",15.84,21.28,7.36,0.01,3.2,80.31,12.42,342.73,21.42,1,7.59155486118886,14.109794231503,39.8115798364215,0.336604641610214,0.105724385629643,8.9987453614368,-8.9887453614368,6.64,0.287272727272727,13.92,2.12496901076852,93.6890336971799
"2",2,2,"DEH1.2020",14,-75.4661,38.63014,2020,5,15,136,"2020-05-15",21.06,26.3,16.48,0.05,4.84,77.81,16.8,361.73,26.03,2,9.21866261324329,14.139166963875,39.9236344262068,0.734821864729129,0.156103737566866,11.6210076828647,-11.5710076828647,13.39,0.608636363636364,9.82,1.05594973591299,189.323445646286
"3",3,3,"DEH1.2020",14,-75.4661,38.63014,2020,5,16,137,"2020-05-16",19.73,26.01,12.66,0.03,3.41,79.38,15.83,365.43,22.89,3,8.1010276852956,14.1679520526645,40.0325039098613,0.615448446897308,0.139717636213917,10.0638834850819,-10.0338834850819,11.335,0.515227272727273,13.35,1.24992960323463,160.593736516952
"4",4,4,"DEH1.2020",14,-75.4661,38.63014,2020,5,17,138,"2020-05-17",15.88,20.01,12.67,0.33,3.47,85.69,13.41,358.72,16.36,4,5.78623005500127,14.1961347436872,40.1381836185343,0.36430806122348,0.118456867388135,7.01073679620506,-6.68073679620506,8.34,0.379090909090909,7.34,1.7021744296987,118.395763762351
"5",5,5,"DEH1.2020",14,-75.4661,38.63014,2020,5,18,139,"2020-05-18",15.59,19.77,12.74,1.67,5.15,88.38,13.66,365.21,7.55,5,2.66866676336679,14.2237003018425,40.2406695182236,0.325158063161508,0.117896016512196,3.2328357116724,-1.5628357116724,8.255,0.375227272727273,7.03,1.72304061803059,117.41664599171
"6",6,6,"DEH1.2020",14,-75.4661,38.63014,2020,5,19,140,"2020-05-19",13.62,18.1,10.23,0,6.3,68.69,7.81,330.4,20.7,6,7.31255404922181,14.2506340322748,40.3399581709048,0.603024603973195,0.104797431128984,8.68222869962739,-8.68222869962739,6.165,0.280227272727273,7.87,2.31153836695455,87.8551588089741
"7",7,7,"DEH1.2020",14,-75.4661,38.63014,2020,5,20,141,"2020-05-20",12.35,16.68,8.99,0,5.66,72.06,7.25,342.12,15.26,7,5.38791095745332,14.2769213023187,40.4360466967257,0.503829254781221,0.0971236935961841,6.30875049980721,-6.30875049980721,4.835,0.219772727272727,7.69,2.95282757028308,69.0289144967109
"8",8,8,"DEH1.2020",14,-75.4661,38.63014,2020,5,21,142,"2020-05-21",14.98,20.84,8.95,0.33,4.18,83.31,11.93,352.73,21.67,8,7.64728268875209,14.3025475641796,40.5289327373287,0.407311775449932,0.109224235912913,9.15740966981694,-8.82740966981694,6.895,0.313409090909091,11.89,2.07433612243359,98.6160654550183
"9",9,9,"DEH1.2020",14,-75.4661,38.63014,2020,5,22,143,"2020-05-22",18,22.64,13.73,13.13,3.62,91.5,16.55,384.17,13.62,9,4.80421429182597,14.3274983782993,40.6186144203547,0.276661200102304,0.131200873599239,5.93246236710526,7.19753763289474,10.185,0.462954545454546,8.91,1.40672541760425,145.925570982978
"10",10,10,"DEH1.2020",14,-75.4661,38.63014,2020,5,23,144,"2020-05-23",20.95,26.08,15.69,4.66,1.76,80.69,17.17,381.48,25.27,10,8.90967095477565,14.3517594373455,40.7050903251738,0.621257587884203,0.1519336646572,11.2411172620877,-6.5811172620877,12.885,0.585681818181818,10.39,1.11383464783434,184.922420350197
"11",11,11,"DEH1.2020",14,-75.4661,38.63014,2020,5,24,145,"2020-05-24",15.43,19.35,12.19,1.39,3.41,85.69,12.96,368.3,14.2,11,5.00460176241333,14.3753165907627,40.7883594498825,0.339166449699614,0.114738801033038,6.05247509712517,-4.66247509712517,7.77,0.353181818181818,7.16,1.85010509533626,111.696209910226
"12",12,12,"DEH1.2020",14,-75.4661,38.63014,2020,5,25,146,"2020-05-25",17.29,23.96,11.01,0.89,2.18,84.56,14.44,363.73,16.46,12,5.7989430170463,14.398155869814,40.8684211795982,0.500331289460822,0.126235396769185,7.12666938605424,-6.23666938605424,9.485,0.431136363636364,12.95,1.51799218448224,136.566508425186
"13",13,13,"DEH1.2020",14,-75.4661,38.63014,2020,5,26,147,"2020-05-26",19,25.92,12.4,0.07,1.75,84.06,15.98,366.25,20.29,13,7.14580973872282,14.4202635130386,40.9452752560757,0.57679839326951,0.138392197290487,8.90840931239982,-8.83840931239982,11.16,0.507272727272727,13.52,1.29213830761995,160.930140805511
"14",14,14,"DEH1.2020",14,-75.4661,38.63014,2020,5,27,148,"2020-05-27",20.08,25.81,13.89,0.52,2.48,84.25,17.12,377.27,21,14,7.39351823266372,14.4416259920448,41.0189217486623,0.503018702480087,0.143680730654912,9.26993365763883,-8.74993365763883,11.85,0.538636363636364,11.92,1.21870261536243,171.133268005731
"15",15,15,"DEH1.2020",14,-75.4661,38.63014,2020,5,28,149,"2020-05-28",21.46,26.17,17.85,1.94,4.92,88.25,19.34,399.38,16.06,15,5.65264118497081,14.4622300375531,41.0893610266015,0.475531906451643,0.161355323225187,7.20076705140271,-5.26076705140271,14.01,0.636818181818182,8.32,1.03227908904733,202.615842826119
"16",16,16,"DEH1.2020",14,-75.4661,38.63014,2020,5,29,150,"2020-05-29",22.57,26.2,19.68,0.45,4.26,89.19,20.65,404.04,16.39,16,5.76726559614752,14.4820626655985,41.1565937326892,0.412822624175599,0.169512073509489,7.39420919759645,-6.94420919759645,14.94,0.679090909090909,6.52,0.969348237322523,216.362016224042
"17",17,17,"DEH1.2020",14,-75.4661,38.63014,2020,5,30,151,"2020-05-30",23.31,27.81,18.2,0.06,2.43,70.75,17.08,376.26,24.75,17,8.70686796297091,14.5011112037994,41.2206207582793,0.966594323196782,0.170094946166779,11.1704385312482,-11.1104385312482,15.005,0.682045454545455,9.61,0.966418607384165,217.58917361301
"18",18,18,"DEH1.2020",14,-75.4661,38.63014,2020,5,31,152,"2020-05-31",18.21,22.56,13.15,0,3.8,59.12,9.42,323,29.99,18,10.5479768131645,14.519363317593,41.2814432196292,0.9429565362943,0.128839769104531,13.0262850585442,-13.0262850585442,9.855,0.447954545454545,9.41,1.47329916972024,143.088325494879
"19",19,19,"DEH1.2020",14,-75.4661,38.63014,2020,6,1,153,"2020-06-01",16.49,21.77,11,0.04,2.95,57.62,7.38,303.6,29.9,19,10.5142812821136,14.5368070363362,41.3390624355711,0.931570321130902,0.118754704086099,12.8183714075787,-12.7783714075787,8.385,0.381136363636364,10.77,1.73366810212716,121.891126999679
"20",20,20,"DEH1.2020",14,-75.4661,38.63014,2020,6,2,154,"2020-06-02",18.8,23.76,13.96,0.3,3.1,71.81,13.18,359.42,16.72,20,5.8785432676209,14.5534307791685,41.39347990649,0.752308805553095,0.136144782984941,7.32334292566007,-7.02334292566007,10.86,0.493636363636364,9.8,1.34009491520889,158.05025826177
"21",21,21,"DEH1.2020",14,-75.4661,38.63014,2020,6,3,155,"2020-06-03",25.5,32.08,19.23,0.97,3.85,68.56,18.83,388.29,21.58,21,7.58610536631676,14.5692233805284,41.4446972945821,1.32847781453083,0.195342204940997,9.89583586506573,-8.92583586506573,17.655,0.8025,12.85,0.825217976807046,257.219638783229
"22",22,22,"DEH1.2020",14,-75.4661,38.63014,2020,6,4,156,"2020-06-04",25.44,31.24,19.83,4.19,2.09,72.25,19.77,391.4,26.57,22,9.33902476896326,14.5841741152162,41.4927164053673,1.12883163682506,0.194134390986744,12.1758955012385,-7.98589550123849,17.535,0.797045454545454,11.41,0.831717942128098,255.733493110316
"23",23,23,"DEH1.2020",14,-75.4661,38.63014,2020,6,5,157,"2020-06-05",24.82,29.92,21.26,1.17,4.1,78.5,20.45,399.98,23.79,23,8.36094085046166,14.5982727228933,41.5375391704218,0.971070391167551,0.194687189477919,10.9053026939705,-9.73530269397054,17.59,0.799545454545455,8.66,0.829918858606782,256.783617195693
"24",24,24,"DEH1.2020",14,-75.4661,38.63014,2020,6,6,158,"2020-06-06",25.5,31.54,20.51,1.44,2.31,77.31,20.75,400.69,25.44,24,8.93997694335673,14.6115094319086,41.5791676312964,1.07374210207365,0.199106200618562,11.6897616188072,-10.2497616188072,18.025,0.819318181818182,11.03,0.810624656416566,263.372457510152
"25",25,25,"DEH1.2020",14,-75.4661,38.63014,2020,6,7,159,"2020-06-07",22.42,27.53,18.05,0.05,2.71,63.19,14.11,344.96,30.18,25,10.6048524025287,14.6238749823428,41.6176039245833,1.26400615733434,0.168173413061301,13.6021946379313,-13.5521946379313,14.79,0.672272727272727,9.48,0.988767747284841,216.28711098885
"26",26,26,"DEH1.2020",14,-75.4661,38.63014,2020,6,8,160,"2020-06-08",21.37,27.76,14.41,0,1.9,60.44,12.03,333.99,29.73,26,10.4460863847102,14.6353606481628,41.6528502680912,1.27915083272977,0.153573771937062,13.2441558710209,-13.2441558710209,13.085,0.594772727272727,13.35,1.11848380956536,191.50369408121
"27",27,27,"DEH1.2020",14,-75.4661,38.63014,2020,6,9,161,"2020-06-09",23.77,30.87,15.55,0.01,2.29,70.44,16.98,358.11,29.9,27,10.5053402532539,14.6459582583803,41.684908948088,1.17774988368385,0.171944327958948,13.5125323664362,-13.5025323664362,15.21,0.691363636363636,15.32,0.962916387796206,222.765025109964
"28",28,28,"DEH1.2020",14,-75.4661,38.63014,2020,6,10,162,"2020-06-10",26.39,31.79,21.06,0.09,4.68,78.25,21.98,401.89,26.35,28,9.25777106169596,14.6556602171126,41.7137823075713,0.956672270453747,0.203243868511914,12.1341350696737,-12.0441350696737,18.425,0.8375,10.73,0.795422535528499,270.0305395003
"29",29,29,"DEH1.2020",14,-75.4661,38.63014,2020,6,11,163,"2020-06-11",25.51,30.76,22.7,13.63,4.62,81,21.83,423.48,11.6,29,4.07546428624583,14.6644595224449,41.7394727355243,0.978525350036002,0.206447241086489,5.35043552287209,8.27956447712791,18.73,0.851363636363636,8.06,0.782939643483444,274.665326855393
"30",30,30,"DEH1.2020",14,-75.4661,38.63014,2020,6,12,164,"2020-06-12",24.79,30.3,19.74,8.58,1.82,62.12,15.72,365.57,28.22,30,9.91460856406278,14.6723497840007,41.7619826571176,1.52269716086447,0.189022005181533,12.89415093621,-4.31415093621002,17.02,0.773636363636364,10.56,0.862065204700394,249.723393323692
"31",31,31,"DEH1.2020",14,-75.4661,38.63014,2020,6,13,165,"2020-06-13",21.12,26.8,15.33,0,3.09,58.44,11.87,329.5,30.54,31,10.7298345660416,14.6793252391304,41.7813145248174,1.24219137243156,0.153409090660663,13.6030470711519,-13.6030470711519,13.065,0.593863636363636,11.47,1.12356105925223,191.785384249239
"32",32,32,"DEH1.2020",14,-75.4661,38.63014,2020,6,14,166,"2020-06-14",19.05,25.01,14.2,0,3.16,66.56,12.07,332.05,29.88,32,10.4982231898135,14.6853807676341,41.7974708103632,0.985485053125303,0.141783673594456,13.1648967868018,-13.1648967868018,11.605,0.5275,10.81,1.26543565425542,170.423843808394
"33",33,33,"DEH1.2020",14,-75.4661,38.63014,2020,6,15,167,"2020-06-15",18.28,22.44,15.01,0.09,4.52,70.69,12.55,356.95,19.31,33,6.78475734563574,14.6905119049431,41.8104539975809,0.756786655160978,0.135143576551014,8.4484972455499,-8.3584972455499,10.725,0.4875,7.43,1.36974469976159,157.555740180515
"34",34,34,"DEH1.2020",14,-75.4661,38.63014,2020,6,16,168,"2020-06-16",18.15,22.05,15.7,2.4,4.78,74.56,13.25,371.66,18.61,34,6.53914156501559,14.6947148536884,41.8202665759982,0.695403803328983,0.136256414901963,8.15214943303401,-5.75214943303401,10.875,0.494318181818182,6.35,1.3512381474656,159.805024033861
"35",35,35,"DEH1.2020",14,-75.4661,38.63014,2020,6,17,169,"2020-06-17",19.67,23.54,16.62,5.72,5.27,87.06,17.37,391.91,7.93,35,2.78660388753165,14.6979864935973,41.8269110352352,0.413388669440091,0.145481143868525,3.50663674006085,2.21336325993915,12.08,0.549090909090909,6.92,1.21672073622494,177.551676842655
"36",36,36,"DEH1.2020",14,-75.4661,38.63014,2020,6,18,170,"2020-06-18",22.71,28.48,17.98,0.74,2.91,77.44,18.05,376.34,26.03,36,9.14764230365239,14.700324389663,41.8303898601443,0.903614635061251,0.172125660257772,11.7650844353629,-11.0250844353629,15.23,0.692272727272727,10.5,0.965221562026461,223.885940454568
"37",37,37,"DEH1.2020",14,-75.4661,38.63014,2020,6,19,171,"2020-06-19",23.7,29.96,17.67,0.1,2.82,73.88,18.15,386.84,24.11,37,8.47364701718507,14.7017267985444,41.8307055266807,1.0438744960299,0.177501475794821,10.9372925038224,-10.8372925038224,15.815,0.718863636363636,12.29,0.929606500066039,232.50780931898
"38",38,38,"DEH1.2020",14,-75.4661,38.63014,2020,6,20,172,"2020-06-20",22.4,26.37,19.71,3.13,2.19,87.25,20.02,388.69,21.71,38,7.63090913879948,14.7021926731607,41.8278604984851,0.524954479322521,0.170409500601306,9.80060091470508,-6.67060091470508,15.04,0.683636363636364,6.66,0.977539406460153,221.120977804337
"39",39,39,"DEH1.2020",14,-75.4661,38.63014,2020,6,21,173,"2020-06-21",23.98,29.32,18.55,0.23,1.92,76.88,19.19,390.02,24.24,39,8.52113599978337,14.7017216654566,41.8218572241692,0.884799199239085,0.178621527661574,11.0043783641999,-10.7743783641999,15.935,0.724318181818182,10.77,0.922605689705466,234.271934739051
"40",40,40,"DEH1.2020",14,-75.4661,38.63014,2020,6,22,174,"2020-06-22",25.75,32.57,18.94,0.26,2.46,73.38,19.92,396.38,27.3,40,9.5980071502993,14.7003141273218,41.8126981352968,1.22286728282794,0.196353543587902,12.5257954374725,-12.2657954374725,17.755,0.807045454545455,13.63,0.82795348506459,261.004077330599
"41",41,41,"DEH1.2020",14,-75.4661,38.63014,2020,6,23,175,"2020-06-23",26.87,32.26,21.03,0.63,3.02,73.56,21.14,396.5,28.8,41,10.12673834047,14.6979711096612,41.8003856450581,1.14982632911125,0.205550258874154,13.2778848019378,-12.6478848019378,18.645,0.8475,11.23,0.788306307839163,274.043671339633
"42",42,42,"DEH1.2020",14,-75.4661,38.63014,2020,6,24,176,"2020-06-24",26.17,30.69,21.84,1.36,3.45,62.56,17.13,379.67,29.38,42,10.3321987476767,14.6946943596199,41.7849221476418,1.56228115008086,0.201580203513657,13.5178173753597,-12.1578173753597,18.265,0.830227272727273,8.85,0.804527476573769,268.398592478457
"43",43,43,"DEH1.2020",14,-75.4661,38.63014,2020,6,25,177,"2020-06-25",24.86,29.78,20.59,2.98,2.02,71.5,18.67,399.3,15.96,43,5.61361924240422,14.6904863159785,41.7663100183119,1.15483941024641,0.190647457584396,7.29928908267587,-4.31928908267587,17.185,0.781136363636364,9.19,0.854843544717981,252.456007340091
"44",44,44,"DEH1.2020",14,-75.4661,38.63014,2020,6,26,178,"2020-06-26",25.6,31.62,18.49,0.57,2.64,61.88,16.37,377.73,28.09,44,9.88180417407346,14.6853501027435,41.7445516142039,1.52927636984096,0.189365818991755,12.8373436959598,-12.2673436959598,17.055,0.775227272727273,13.13,0.861058346686807,250.45864600229
"45",45,45,"DEH1.2020",14,-75.4661,38.63014,2020,6,27,179,"2020-06-27",28.19,34.09,21.82,0.31,3.18,61.75,19.18,406.8,24.36,45,8.5712008355192,14.6792895209682,41.719649275856,1.75826965643208,0.219744491148353,11.30623110542,-10.99623110542,19.955,0.907045454545455,12.27,0.735619620193846,292.92522239092
"46",46,46,"DEH1.2020",14,-75.4661,38.63014,2020,6,28,180,"2020-06-28",28.05,33.58,23.18,1.02,2.06,67.81,20.81,410.45,24.56,46,8.64327259999039,14.6723090388468,41.6916053294996,1.55996764973656,0.224522770848247,11.4226770487438,-10.4026770487438,20.38,0.926363636363636,10.4,0.719936655488067,299.021658211698
"47",47,47,"DEH1.2020",14,-75.4661,38.63014,2020,6,29,181,"2020-06-29",28.28,34.03,22.35,0.43,2.26,61.12,18.83,390.1,27.74,47,9.76444351381956,14.6644137801366,41.6604220901334,1.84025077415864,0.222375923345981,12.889813842723,-12.459813842723,20.19,0.917727272727273,11.68,0.726320642899287,296.074514220958
"48",48,48,"DEH1.2020",14,-75.4661,38.63014,2020,6,30,182,"2020-06-30",27.31,33.41,21.56,0.82,1.73,60.75,17.95,393.17,26.44,48,9.30892632519051,14.6556095109681,41.6261018654121,1.80285143731983,0.214560059821881,12.2428805892011,-11.4228805892011,19.485,0.885681818181818,11.85,0.752148294122048,285.564551321213
