"","env","window_size","start_day","end_day","mean_temperature","Mean","cor"
"226","DEH1.2020",2,100,101,0.836121524190883,9.40698283686221,0.958225213904968
"8227","DEH1.2021",2,100,101,0.991468344031358,11.6112698651393,0.958225213904968
"16228","IAH1.2021",2,100,101,0.787591605238359,9.86623614876492,0.958225213904968
"24229","IAH2.2021",2,100,101,0.993325116774767,11.4656148341295,0.958225213904968
"32230","IAH3.2021",2,100,101,0.95277154338333,11.3196591120068,0.958225213904968
"40231","IAH4.2021",2,100,101,0.866927424679236,10.8097635161292,0.958225213904968
"48232","ILH1.2021",2,100,101,1.00316636361045,11.9198576198688,0.958225213904968
"56233","INH1.2020",2,100,101,1.06120230679697,12.4639455721113,0.958225213904968
"64234","NCH1.2021",2,100,101,0.695814634266128,8.79464483363175,0.958225213904968
"72235","WIH2.2020",2,100,101,1.02798337476345,11.7161395994343,0.958225213904968
"80236","WIH2.2021",2,100,101,1.18295968183562,12.6614105093998,0.958225213904968
