"","env","window_size","start_day","end_day","mean_temperature","Mean","cor"
"4644","DEH1.2020",45,46,90,0.734457709366328,8.20440056293372,0.732623173685504
"12645","DEH1.2021",45,46,90,0.897299270334166,10.8997817872668,0.732623173685504
"20646","GAH1.2020",45,46,90,0.817370887857735,7.85588919818104,0.732623173685504
"28647","GAH1.2021",45,46,90,0.882883509939849,9.79806658087617,0.732623173685504
"36648","IAH1.2021",45,46,90,1.01032030819443,9.14095099047049,0.732623173685504
"44649","IAH2.2021",45,46,90,0.94880854949151,11.28233067904,0.732623173685504
"52650","IAH3.2021",45,46,90,0.954090471506792,10.7737816820433,0.732623173685504
"60651","IAH4.2021",45,46,90,0.907620012818592,10.0869441943548,0.732623173685504
"108657","NCH1.2021",45,46,90,0.852828105829906,8.25576971056863,0.732623173685504
"116658","NEH1.2020",45,46,90,0.862007975994794,8.20545213011176,0.732623173685504
"124659","NEH1.2021",45,46,90,0.881154997929194,9.44115180691016,0.732623173685504
"132660","NEH2.2020",45,46,90,0.860460433514742,10.024703953749,0.732623173685504
"140661","NEH3.2020",45,46,90,0.879211615014144,10.8181717474729,0.732623173685504
"156663","SCH1.2021",45,46,90,0.854799551914161,6.90425271396991,0.732623173685504
"164664","TXH1.2020",45,46,90,0.83736327914395,9.18321770012983,0.732623173685504
"172665","TXH2.2020",45,46,90,0.837361191616664,7.12386582833948,0.732623173685504
"180666","TXH2.2021",45,46,90,0.88265730458843,9.19045505864869,0.732623173685504
"188667","TXH3.2021",45,46,90,0.76130953960378,4.0435539654414,0.732623173685504
"212670","WIH2.2020",45,46,90,1.06357527544722,11.4908994278744,0.732623173685504
"220671","WIH2.2021",45,46,90,1.05252208761933,12.0363237297126,0.732623173685504
