env	lat	lon	start	end100	end125	location	year	Tester
DEH1.2020	38.63014	-75.4661	2020-05-14	2020-08-22	2020-09-16	DEH1	2020	"PHK76,PHP02,PHZ51"
DEH1.2021	38.635	-75.455	2021-04-27	2021-08-05	2021-08-30	DEH1	2021	"PHK76,PHP02,PHZ51"
GAH1.2020	31.50728	-83.55828	2020-04-01	2020-07-10	2020-08-04	GAH1	2020	PHZ51
GAH1.2021	31.50728	-83.55828	2021-03-25	2021-07-03	2021-07-28	GAH1	2021	PHZ51
IAH1.2021	41.2139	-91.5371	2021-05-01	2021-08-09	2021-09-03	IAH1	2021	"PHK76,PHZ51"
IAH2.2021	42.0683	-94.8598	2021-04-27	2021-08-05	2021-08-30	IAH2	2021	"PHK76,PHP02,PHZ51"
IAH3.2021	42.00092	-92.19854	2021-05-06	2021-08-14	2021-09-08	IAH3	2021	"PHK76,PHP02,PHZ51"
IAH4.2021	41.99761	-93.69622	2021-04-28	2021-08-06	2021-08-31	IAH4	2021	"PHK76,PHP02,PHZ51"
ILH1.2021	40.11642	-88.24339	2021-04-27	2021-08-05	2021-08-30	ILH1	2021	PHK76
INH1.2020	40.47927	-86.98905	2020-05-12	2020-08-20	2020-09-14	INH1	2020	PHK76
MIH1.2021	42.70741	-84.46975	2021-05-13	2021-08-21	2021-09-15	MIH1	2021	PHP02
MNH1.2020	44.07063	-93.52653	2020-05-15	2020-08-23	2020-09-17	MNH1	2020	PHP02
MNH1.2021	44.07065	-93.52649	2021-05-14	2021-08-22	2021-09-16	MNH1	2021	PHP02
NCH1.2021	36.12293	-77.17663	2021-04-21	2021-07-30	2021-08-24	NCH1	2021	"PHK76,PHZ51"
NEH1.2020	40.85194	-96.61667	2020-05-12	2020-08-20	2020-09-14	NEH1	2020	PHZ51
NEH1.2021	40.86125	-96.59679	2021-05-07	2021-08-15	2021-09-09	NEH1	2021	PHZ51
NEH2.2020	41.05376	-100.74999	2020-05-14	2020-08-22	2020-09-16	NEH2	2020	PHZ51
NEH3.2020	41.05376	-100.74999	2020-05-09	2020-08-17	2020-09-11	NEH3	2020	PHZ51
OHH1.2020	39.85683	-83.67399	2020-06-02	2020-09-10	2020-10-05	OHH1	2020	PHP02
SCH1.2021	34.62303	-82.73708	2021-04-13	2021-07-22	2021-08-16	SCH1	2021	PHZ51
TXH1.2020	30.53858	-96.42678	2020-03-11	2020-06-19	2020-07-14	TXH1	2020	PHZ51
TXH2.2020	30.53804	-96.42906	2020-03-11	2020-06-19	2020-07-14	TXH2	2020	PHZ51
TXH2.2021	30.53886	-96.42848	2021-03-10	2021-06-18	2021-07-13	TXH2	2021	PHZ51
TXH3.2021	30.53886	-96.42848	2021-04-09	2021-07-18	2021-08-12	TXH3	2021	PHZ51
WIH1.2020	43.05577	-89.53138	2020-05-07	2020-08-15	2020-09-09	WIH1	2020	PHP02
WIH1.2021	43.05722	-89.52944	2021-05-10	2021-08-18	2021-09-12	WIH1	2021	PHP02
WIH2.2020	43.10275	-89.13487	2020-05-13	2020-08-21	2020-09-15	WIH2	2020	"PHK76,PHP02,PHZ51"
WIH2.2021	43.31972	-89.33278	2021-05-24	2021-09-01	2021-09-26	WIH2	2021	"PHK76,PHP02,PHZ51"
WIH3.2021	44.11556	-89.54778	2021-04-29	2021-08-07	2021-09-01	WIH3	2021	PHP02
